"poziom_studiow";"forma_studiow";"kod_przedmiotu";"nazwa_przedmiotu";"rodzaj_zajec";"numer_grupy";"prowadzacy";"data";"poczatek";"koniec";"budynek";"nr_sali"
"I Stopnia";"Stacjonarne";"110-INO-1S-230";"Optymalizacja";"ćwiczenia projektowe";"2";"dr inż. Łukasz Sztangret";"2021-11-16";"15:00";"16:30";"B4";"101"
"I Stopnia";"Stacjonarne";"110-INO-1S-193";"Modelowanie dyskretne";"ćwiczenia projektowe";"2";"mgr inż. Mateusz Mojżeszko";"2021-11-17";"9:45";"11:15";"B5";"404"
"I Stopnia";"Stacjonarne";"110-INO-1S-387";"Wizualizacja danych";"ćwiczenia laboratoryjne";"3";"dr inż. Przemysław Marynowski";"2021-11-17";"15:00";"16:30";"B5";"404"
"I Stopnia";"Stacjonarne";"110-INO-1S-300";"Przetwarzanie równoległe i rozproszone";"wykład";"1";"dr hab. inż. Krzysztof Banaś";"2021-11-18";"8:00";"9:30";"B4";"122"
"I Stopnia";"Stacjonarne";"110-INO-1S-230";"Optymalizacja";"wykład";"1";"prof. dr hab. inż. Jan Kusiak";"2021-11-18";"9:45";"11:15";"B4";"122"
"I Stopnia";"Stacjonarne";"110-INO-1S-384";"Warsztaty modelowania";"zajęcia warsztatowe";"1";"dr hab. Magdalena Kopernik";"2021-11-19";"8:00";"10:15";"B5";"612"
"I Stopnia";"Stacjonarne";"110-INO-1S-384";"Warsztaty modelowania";"zajęcia warsztatowe";"1";"dr inż. Piotr Skubisz";"2021-11-19";"10:30";"12:45";"B5";"612"
"I Stopnia";"Stacjonarne";"110-INO-1S-300";"Przetwarzanie równoległe i rozproszone";"ćwiczenia laboratoryjne";"3";"mgr inż. Jan Bielański";"2021-11-19";"15:00";"16:30";"B5";"410"
"I Stopnia";"Stacjonarne";"110-INO-1S-193";"Modelowanie dyskretne";"wykład";"1";"prof. dr hab. inż. Łukasz Madej";"2021-11-22";"8:00";"9:30";"online";"online"
"I Stopnia";"Stacjonarne";"110-INO-1S-387";"Wizualizacja danych";"wykład";"1";"prof. dr hab. inż. Mirosław Głowacki";"2021-11-22";"11:30";"13:00";"online";"online"
"I Stopnia";"Stacjonarne";"110-INO-1S-230";"Optymalizacja";"ćwiczenia projektowe";"2";"dr inż. Łukasz Sztangret";"2021-11-23";"15:00";"16:30";"B4";"101"
"I Stopnia";"Stacjonarne";"110-INO-1S-193";"Modelowanie dyskretne";"ćwiczenia projektowe";"2";"prof. dr hab. inż. Dmytro Svyetlichnyy";"2021-11-24";"9:45";"11:15";"B5";"404"
"I Stopnia";"Stacjonarne";"110-INO-1S-387";"Wizualizacja danych";"ćwiczenia laboratoryjne";"3";"dr inż. Przemysław Marynowski";"2021-11-24";"15:00";"16:30";"B5";"404"
"I Stopnia";"Stacjonarne";"110-INO-1S-300";"Przetwarzanie równoległe i rozproszone";"wykład";"1";"dr hab. inż. Krzysztof Banaś";"2021-11-25";"8:00";"9:30";"B4";"122"
"I Stopnia";"Stacjonarne";"110-INO-1S-230";"Optymalizacja";"wykład";"1";"prof. dr hab. inż. Jan Kusiak";"2021-11-25";"9:45";"11:15";"B4";"122"
"I Stopnia";"Stacjonarne";"110-INO-1S-384";"Warsztaty modelowania";"zajęcia warsztatowe";"1";"dr hab. Magdalena Kopernik";"2021-11-26";"8:00";"10:15";"B5";"612"
"I Stopnia";"Stacjonarne";"110-INO-1S-384";"Warsztaty modelowania";"zajęcia warsztatowe";"1";"dr inż. Tomasz Dębiński";"2021-11-26";"10:30";"12:45";"B5";"612"
"I Stopnia";"Stacjonarne";"110-INO-1S-300";"Przetwarzanie równoległe i rozproszone";"ćwiczenia laboratoryjne";"3";"mgr inż. Jan Bielański";"2021-11-26";"15:00";"16:30";"B5";"410"
"I Stopnia";"Stacjonarne";"110-INO-1S-193";"Modelowanie dyskretne";"wykład";"1";"prof. dr hab. inż. Dmytro Svyetlichnyy";"2021-11-29";"8:00";"9:30";"online";"online"
"I Stopnia";"Stacjonarne";"110-INO-1S-387";"Wizualizacja danych";"wykład";"1";"prof. dr hab. inż. Mirosław Głowacki";"2021-11-29";"11:30";"13:00";"online";"online"
"I Stopnia";"Stacjonarne";"110-INO-1S-230";"Optymalizacja";"ćwiczenia projektowe";"2";"dr inż. Łukasz Sztangret";"2021-11-30";"15:00";"16:30";"B4";"101"
"I Stopnia";"Stacjonarne";"110-INO-1S-193";"Modelowanie dyskretne";"ćwiczenia projektowe";"2";"prof. dr hab. inż. Dmytro Svyetlichnyy";"2021-12-01";"9:45";"11:15";"B5";"404"
"I Stopnia";"Stacjonarne";"110-INO-1S-387";"Wizualizacja danych";"ćwiczenia laboratoryjne";"3";"dr inż. Przemysław Marynowski";"2021-12-01";"15:00";"16:30";"B5";"404"
