"poziom_studiow";"forma_studiow";"kod_przedmiotu";"nazwa_przedmiotu";"rodzaj_zajec";"numer_grupy";"prowadzacy";"data";"poczatek";"koniec";"budynek";"nr_sali"
"II Stopnia";"Stacjonarne";"230-HES-2S-001";"Kryminologia z elementami kryminalistyki";"wykład";"1";"dr Tomasz Wierzchowski";"2023-03-07";"16:40";"18:10";"online";"online"
"II Stopnia";"Stacjonarne";"120-ISI-2S-128-IOP";"Eksploracja danych";"wykład";"1";"dr inż. Piotr Szwed";"2023-03-07";"16:45";"18:15";"B1";"on-line"
"II Stopnia";"Stacjonarne";"230-HES-2S-001";"Kryminologia z elementami kryminalistyki";"ćwiczenia audytoryjne";"1";"dr Tomasz Wierzchowski";"2023-03-07";"18:20";"19:50";"online";"online"
"II Stopnia";"Stacjonarne";"120-ISI-2S-724-IOP";"Modelowanie biznesowe";"wykład";"1";"dr inż. Paweł Skrzyński";"2023-03-08";"8:00";"9:30";"C2";"429"
"II Stopnia";"Stacjonarne";"120-ISI-2S-724-IOP";"Modelowanie biznesowe";"ćwiczenia projektowe";"1";"dr inż. Krzysztof Kluza";"2023-03-08";"11:15";"12:45";"D8";"526"
"II Stopnia";"Stacjonarne";"120-ISI-2S-699-IOP";"Estymacja oprogramowania";"ćwiczenia laboratoryjne";"1";"dr inż. Rafał Mrówka";"2023-03-08";"13:30";"15:00";"B5";"210"
"II Stopnia";"Stacjonarne";"120-ISI-2S-546-IOP";"Studio projektowe 1";"ćwiczenia projektowe";"1";"dr hab. inż. Radosław Klimek";"2023-03-08";"16:30";"18:45";"C2";"431"
"II Stopnia";"Stacjonarne";"120-ISI-2S-081-IOP";"Computational Intelligence";"ćwiczenia laboratoryjne";"1";"dr inż. Piotr Szwed";"2023-03-09";"9:30";"11:00";"C3";"215"
"II Stopnia";"Stacjonarne";"120-ISI-2S-128-IOP";"Eksploracja danych";"ćwiczenia laboratoryjne";"1";"dr inż. Piotr Szwed";"2023-03-09";"11:15";"12:45";"C2";"208"
"II Stopnia";"Stacjonarne";"120-ISI-2S-446-IOP";"Programowanie ekstremalne";"wykład";"1";"dr Dariusz Pałka";"2023-03-09";"13:00";"14:30";"C2";"208"
"II Stopnia";"Stacjonarne";"120-ISI-2S-081-IOP";"Computational Intelligence";"wykład";"1";"dr hab. Adrian Horzyk";"2023-03-09";"16:45";"18:15";"B1";"014"
"II Stopnia";"Stacjonarne";"120-ISI-2S-546-IOP";"Studio projektowe 1";"ćwiczenia projektowe";"1";"prof. dr hab. inż. Tomasz Szmuc";"2023-03-10";"8:00";"10:15";"D2";"4.07"
"II Stopnia";"Stacjonarne";"120-ISI-2S-699-IOP";"Estymacja oprogramowania";"wykład";"1";"dr inż. Rafał Mrówka";"2023-03-10";"12:45";"14:15";"B5";"210"
"II Stopnia";"Stacjonarne";"120-ISI-2S-446-IOP";"Programowanie ekstremalne";"ćwiczenia laboratoryjne";"1";"dr Dariusz Pałka";"2023-03-13";"11:00";"12:30";"C2";"313"
"II Stopnia";"Stacjonarne";"120-ISI-2S-718-IOP";"Metody formalne w inżynierii oprogramowania";"ćwiczenia laboratoryjne";"1";"dr inż. Wojciech Szmuc";"2023-03-13";"13:00";"14:30";"C2";"216"
